 ,Area,Mean,Min,Max
186,422,9153.941,6013,13016
187,484,9554.097,5912,13375
188,367,9814.507,5914,15047
189,356,8588.039,5940,11878
190,443,7790.661,5938,10427
191,226,7182.204,5918,9083
192,398,10303.440,5946,13518
193,375,9421.160,5948,13633
194,264,7562.288,5912,9740
195,307,12442.394,6071,18561
196,466,8202.185,5960,11326
197,419,9502.790,5964,13179
198,361,9443.288,5928,12926
199,361,10143.618,5922,14280
200,253,7490.178,5938,9114
201,288,9980.962,5926,13784
202,344,7684.924,5966,10061
203,234,17974.150,5970,31917
204,330,10089.888,6021,13639
205,346,9012.301,5918,12724
206,320,11509.938,5970,16703
207,485,9339.746,5926,12875
208,241,8137.461,5944,9776
209,383,9253.076,5928,12835
210,334,10729.754,6047,13824
211,446,10076.052,5948,14030
212,252,7754.095,5920,10058
213,375,7732.680,5940,10437
214,410,9358.356,5924,12887
215,349,18349.312,5997,29070
216,322,8887.894,5916,13439
217,395,10385.066,5916,14701
218,364,9275.745,5940,12504
219,295,7553.797,5914,9801
220,347,8559.104,5942,11870
221,240,6994.883,5942,8636
222,265,7979.581,5912,10482
223,296,9006.774,5934,12730
224,324,11365.935,5966,17487
225,437,8459.620,5966,12130
226,263,6911.996,5912,8205
227,253,8666.379,5982,10699
228,338,8321.166,5936,10812
229,241,7379.091,5922,9174
230,428,9478.019,5964,13121
231,239,6909.979,5916,8618
232,480,17234.981,5924,26465
233,418,8760.481,5930,11370
234,211,13665.408,6039,21726
235,279,7635.857,5926,10052
236,248,7029.718,5914,9194
237,287,9232.132,6118,12855
238,360,9922.100,6043,13333
239,345,7312.000,5932,9865
240,388,7699.366,5926,10582
241,343,8258.857,5912,11126
242,260,8082.792,5948,10335
243,272,7873.364,5940,9889
244,372,10495.239,5924,14034
245,369,10692.024,5982,14276
246,392,7588.957,5914,9919
247,283,7594.385,5936,9255
248,443,13725.738,5920,25426
249,242,6981.529,5922,8592
250,440,8536.750,5918,11275
251,234,18011.350,5944,33706
252,380,11519.632,5942,18916
253,332,8213.370,5924,11310
254,222,12798.014,5924,21206
255,441,9488.798,6011,12881
256,319,10438.210,6001,14098
257,354,8093.486,5914,10852
258,281,7728.904,5950,9420
259,219,18113.333,6085,31242
260,237,7228.274,5950,9039
261,245,7256.722,5914,8968
262,254,7324.819,5912,8946
263,256,8239.750,5995,9982
264,253,8127.466,5968,11100
265,385,8841.130,5962,11713
266,250,9008.324,5926,12013
267,269,7716.643,5972,9923
268,246,6756.126,5920,8354
269,387,19638.013,5980,43740
270,270,7915.426,5920,9954
271,350,7861.446,5916,10300
272,231,8388.377,5950,11285
273,428,9926.383,5950,12738
274,227,17784.079,5948,34349
275,275,7325.840,5914,8926
276,481,8155.557,5938,11056
277,345,7532.316,5918,9613
278,236,8993.203,6007,12861
279,470,9147.857,5920,14876
280,253,7890.158,5944,10375
281,263,7085.837,5938,9186
282,281,8889.972,5922,11634
283,298,7826.970,5954,10048
284,391,8439.463,5916,11237
285,329,11977.553,5928,17568
286,396,9324.715,6025,12958
287,341,11352.818,5956,16234
288,225,8332.564,5926,10903
289,223,9257.493,5916,11836
290,327,7837.492,5932,9825
291,282,7610.039,5942,9772
292,381,8375.777,5940,10921
293,337,7918.415,5922,10572
294,233,8230.910,5946,10832
295,326,7132.147,5916,9329
296,300,7146.460,5938,9506
297,298,7597.500,5916,10181
298,272,9339.482,5914,12869
299,253,7382.747,5912,9136
300,356,9178.621,5912,12662
301,226,8909.558,5952,12029
302,310,7700.445,5930,9887
303,327,11854.468,6003,16965
304,344,11281.052,5924,15625
305,315,8315.114,5918,11263
306,440,9621.161,5958,12799
307,307,6672.521,5920,8386
308,306,9554.163,5918,12668
309,319,6872.680,5918,8197
310,151,19180.166,5936,43041
311,246,7746.358,5934,10095
312,248,8145.419,5914,10697
313,398,9440.003,5976,13137
314,492,9435.600,5918,15595
315,278,8397.986,5914,11717
316,311,9237.807,5922,11985
317,296,9867.743,5932,13774
318,263,7875.779,5962,10232
319,162,17620.988,5985,37436
320,308,9469.273,5934,13633
321,359,8819.669,5922,12007
322,259,7618.653,5914,10546
323,480,11322.788,6136,16578
324,310,8140.474,5987,10679
325,279,10842.470,5978,14987
326,362,9498.655,5920,12595
327,458,9674.616,5938,13258
328,353,11040.544,5968,15891
329,279,7908.072,5922,10383
330,318,9005.726,5928,12803
331,308,9367.175,5958,13050
332,299,8414.706,5952,11674
333,314,8098.411,5954,10224
334,297,9816.529,6025,14010
335,286,10257.976,5948,13643
336,292,7243.387,5920,9708
337,295,8487.492,5916,11626
338,275,7861.320,5912,10419
339,369,8741.870,5942,11066
340,365,10471.488,5985,14177
341,393,12234.975,5932,19121
342,262,7954.282,5956,10538
343,357,9141.728,5980,12559
344,321,8090.835,5944,11076
345,295,8306.498,5950,11541
346,455,8208.657,5946,11707
347,272,7570.824,5912,9923
348,294,8491.279,5956,11971
